OBJECTID,Shape,pointid
1,"(-36315.0, -45674.99999999814)",14516
2,"(-36285.0, -45674.99999999814)",14517
3,"(-36345.0, -45705.0)",14643
4,"(-36315.0, -45705.0)",14644
5,"(-36285.0, -45705.0)",14645
6,"(-36255.0, -45705.0)",14646
7,"(-36225.0, -45705.0)",14647
8,"(-36195.0, -45705.0)",14648
9,"(-36405.0, -45735.0)",14769
10,"(-36375.0, -45735.0)",14770
11,"(-36345.0, -45735.0)",14771
12,"(-36315.0, -45735.0)",14772
13,"(-36285.0, -45735.0)",14773
14,"(-36255.0, -45735.0)",14774
15,"(-36225.0, -45735.0)",14775
16,"(-36195.0, -45735.0)",14776
17,"(-36165.0, -45735.0)",14777
18,"(-36135.0, -45735.0)",14778
19,"(-36435.0, -45764.99999999814)",14896
20,"(-36405.0, -45764.99999999814)",14897
21,"(-36375.0, -45764.99999999814)",14898
22,"(-36345.0, -45764.99999999814)",14899
23,"(-36315.0, -45764.99999999814)",14900
24,"(-36285.0, -45764.99999999814)",14901
25,"(-36255.0, -45764.99999999814)",14902
26,"(-36225.0, -45764.99999999814)",14903
27,"(-36195.0, -45764.99999999814)",14904
28,"(-36165.0, -45764.99999999814)",14905
29,"(-36135.0, -45764.99999999814)",14906
30,"(-36435.0, -45795.0)",15024
31,"(-36405.0, -45795.0)",15025
32,"(-36375.0, -45795.0)",15026
33,"(-36345.0, -45795.0)",15027
34,"(-36315.0, -45795.0)",15028
35,"(-36285.0, -45795.0)",15029
36,"(-36255.0, -45795.0)",15030
37,"(-36225.0, -45795.0)",15031
38,"(-36195.0, -45795.0)",15032
39,"(-36165.0, -45795.0)",15033
40,"(-36135.0, -45795.0)",15034
41,"(-36105.0, -45795.0)",15035
42,"(-36435.0, -45825.0)",15152
43,"(-36405.0, -45825.0)",15153
44,"(-36375.0, -45825.0)",15154
45,"(-36345.0, -45825.0)",15155
46,"(-36315.0, -45825.0)",15156
47,"(-36285.0, -45825.0)",15157
48,"(-36255.0, -45825.0)",15158
49,"(-36225.0, -45825.0)",15159
50,"(-36195.0, -45825.0)",15160
51,"(-36165.0, -45825.0)",15161
52,"(-36135.0, -45825.0)",15162
53,"(-36105.0, -45825.0)",15163
54,"(-36465.0, -45854.99999999814)",15279
55,"(-36435.0, -45854.99999999814)",15280
56,"(-36405.0, -45854.99999999814)",15281
57,"(-36375.0, -45854.99999999814)",15282
58,"(-36345.0, -45854.99999999814)",15283
59,"(-36315.0, -45854.99999999814)",15284
60,"(-36285.0, -45854.99999999814)",15285
61,"(-36255.0, -45854.99999999814)",15286
62,"(-36225.0, -45854.99999999814)",15287
63,"(-36195.0, -45854.99999999814)",15288
64,"(-36165.0, -45854.99999999814)",15289
65,"(-36135.0, -45854.99999999814)",15290
66,"(-36105.0, -45854.99999999814)",15291
67,"(-36465.0, -45885.0)",15407
68,"(-36435.0, -45885.0)",15408
69,"(-36405.0, -45885.0)",15409
70,"(-36375.0, -45885.0)",15410
71,"(-36345.0, -45885.0)",15411
72,"(-36315.0, -45885.0)",15412
73,"(-36285.0, -45885.0)",15413
74,"(-36255.0, -45885.0)",15414
75,"(-36225.0, -45885.0)",15415
76,"(-36195.0, -45885.0)",15416
77,"(-36165.0, -45885.0)",15417
78,"(-36135.0, -45885.0)",15418
79,"(-36105.0, -45885.0)",15419
80,"(-36435.0, -45915.0)",15536
81,"(-36405.0, -45915.0)",15537
82,"(-36375.0, -45915.0)",15538
83,"(-36345.0, -45915.0)",15539
84,"(-36315.0, -45915.0)",15540
85,"(-36285.0, -45915.0)",15541
86,"(-36255.0, -45915.0)",15542
87,"(-36225.0, -45915.0)",15543
88,"(-36195.0, -45915.0)",15544
89,"(-36165.0, -45915.0)",15545
90,"(-36135.0, -45915.0)",15546
91,"(-36105.0, -45915.0)",15547
92,"(-36405.0, -45944.99999999814)",15665
93,"(-36375.0, -45944.99999999814)",15666
94,"(-36345.0, -45944.99999999814)",15667
95,"(-36315.0, -45944.99999999814)",15668
96,"(-36285.0, -45944.99999999814)",15669
97,"(-36255.0, -45944.99999999814)",15670
98,"(-36225.0, -45944.99999999814)",15671
99,"(-36195.0, -45944.99999999814)",15672
100,"(-36165.0, -45944.99999999814)",15673
101,"(-36135.0, -45944.99999999814)",15674
102,"(-36345.0, -45975.0)",15795
103,"(-36315.0, -45975.0)",15796
104,"(-36285.0, -45975.0)",15797
105,"(-36255.0, -45975.0)",15798
106,"(-36225.0, -45975.0)",15799
