species,flag
m076,0
m077,0
m078,0
m079,0
m080,0
m081,0
m082,0
m083,0
m084,0
m085,0
m234,0
m008,0
m011,0
m013,0
m015,0
m017,0
m019,0
m021,0
m025,0
m028,0
m031,0
m059,0
m060,0
m061,0
m062,0
m063,0
m144,0
m145,0
m146,0
m147,0
m148,0
m149,0
m162,0
m163,0
m164,0
m165,0
m166,0
m001,0
m003,0
m005,0
m123,0
m124,0
m125,0
m126,0
m127,0
m128,0
m129,0
m130,0
m131,0
m132,0
m002,0
m004,0
m006,0
m010,0
m012,0
m014,0
m016,0
m018,0
m020,0
m022,0
m023,0
m024,0
m026,0
m027,0
m029,0
m030,0
m032,0
m034,0
m036,0
m038,0
m040,0
m042,0
m044,0
m046,0
m049,0
m111,0
m113,0
m115,0
m118,0
m120,0
m122,0
m150,0
m151,0
m152,0
m153,0
m154,0
m155,0
m156,0
m157,0
m158,0
m159,0
m160,0
m161,0
m167,0
m168,0
m169,0
m170,0
m064,0
m065,0
m066,0
m067,0
m068,0
m069,0
m070,0
m071,0
m072,0
m073,0
m074,0
m106,0
m110,0
m112,0
m100,0
m102,0
m103,0
m104,0
m105,0
m107,0
m108,0
m109,0
m133,0
m134,0
m135,0
m136,0
m137,0
m138,0
m139,0
m140,0
m141,0
m142,0
m143,0
m114,0
m116,0
m117,0
m119,0
m121,0
m236,0
m086,0
m087,0
m088,0
m089,0
m091,0
m092,0
m093,0
m094,0
m095,0
m096,0
m097,0
m098,0
m099,0
m033,0
m035,0
m037,0
m039,0
m041,0
m043,0
m045,0
m047,0
m050,0
m051,0
m052,0
m053,0
m054,0
m055,0
m056,0
m057,0
m058,0
m075,0
m171,0
m173,0
m174,0
m175,0
m176,0
m177,0
m178,0
m179,0
m180,0
m181,0
m182,0
m183,0
m184,0
m185,0
m186,0
m233,0
